,ID,SMILES,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
473,DB00619,CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC(NC3=NC=CC(=N3)C3=CN=CC=C3)=C(C)C=C2)CC1,493.25900861200006,7,2,4.590320000000004,True
474,DB00620,[H][C@@]12C[C@@H](O)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,394.17916680400003,6,4,0.6204999999999992,True
475,DB00621,[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)OC[C@]12C,306.21949481999997,3,1,3.5431000000000026,True
476,DB00622,COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN(C)CC1=CC=CC=C1,479.205635648,8,1,3.677800000000003,True
477,DB00623,OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1,437.17486811199996,5,1,4.308100000000004,True
478,DB00624,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,288.208930136,2,1,3.879200000000003,True
479,DB00625,FC(F)(F)[C@]1(OC(=O)NC2=C1C=C(Cl)C=C2)C#CC1CC1,315.027390868,2,1,4.073100000000002,True
480,DB00626,CC[C@H](C)[C@H](N)C1=N[C@@H](CS1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(O)=O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@H]1CCCCNC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CC(O)=O)NC(=O)[C@H](CC2=CNC=N2)NC(=O)[C@@H](CC2=CC=CC=C2)NC(=O)[C@@H](NC(=O)[C@@H](CCCN)NC1=O)[C@@H](C)CC,1421.7489412159996,19,17,-1.6776000000000246,False
481,DB00627,OC(=O)C1=CN=CC=C1,123.0320284,2,1,0.7797999999999999,True
482,DB00628,OC(=O)C1N=C(C2=CC=CC=C2)C2=C(NC1=O)C=CC(Cl)=C2,314.045819892,3,2,2.582700000000001,True
483,DB00629,NC(N)=NN=CC1=C(Cl)C=CC=C1Cl,230.01260161599998,2,2,1.6007000000000005,True
484,DB00630,NCCCC(O)(P(O)(O)=O)P(O)(O)=O,249.016725016,4,6,-1.2731999999999999,True
485,DB00631,[H][C@]1(F)[C@H](O)[C@@H](CO)O[C@H]1N1C=NC2=C(N)N=C(Cl)N=C12,303.0534451120001,8,3,-0.3494000000000003,True
486,DB00632,CCCCCCCCCCCCCCCCCCCCCCO,326.35486609199995,1,1,7.800600000000008,True
487,DB00633,C[C@H](C1=CNC=N1)C1=C(C)C(C)=CC=C1,200.131348512,1,1,3.178340000000002,True
488,DB00634,CC(=O)NS(=O)(=O)C1=CC=C(N)C=C1,214.04121318,4,2,0.0935999999999998,True
489,DB00635,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,358.178023932,5,2,1.7657999999999998,True
490,DB00636,CCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1,242.07097202,3,0,3.060500000000001,True
491,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=CC=CC=C3N2CC2=CC=C(F)C=C2)C=C1,458.24818983200004,5,1,5.351300000000005,True
492,DB00639,ClC1=CC=C(CCC(CN2C=CN=C2)SC2=C(Cl)C=CC=C2Cl)C=C1,410.017802584,3,0,6.637000000000003,True
493,DB00640,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1,267.096753896,9,4,-1.9799999999999998,True
